samples_nr,layers,result
20        ,3:4   ,0.25
50        ,4:5   ,0.36363636363636365
20        ,4:4   ,0.5
20        ,4:5   ,0.5
50        ,3:4   ,0.5454545454545454
50        ,4:4   ,0.5454545454545454
100       ,4:5   ,0.5555555555555556
100       ,3:4   ,0.6111111111111112
100       ,4:4   ,0.6111111111111112
500       ,4:4   ,0.6125
500       ,3:4   ,0.625
200       ,3:3   ,0.6451612903225806
1000      ,3:4   ,0.6705202312138728
50        ,3:3   ,0.7272727272727273
20        ,3:3   ,0.75
500       ,4:5   ,0.825
100       ,3:3   ,0.8333333333333334
200       ,4:4   ,0.8709677419354839
1000      ,4:4   ,0.8959537572254336
500       ,3:3   ,0.9
200       ,4:5   ,0.9032258064516129
200       ,3:4   ,0.9354838709677419
1000      ,3:3   ,0.9595375722543352
1000      ,4:5   ,0.9710982658959537
